strain_id,strain,timepoint,tissue,replicate,log10_tcid50_per_ml
30,A/chicken/Hebei/M1211-20/2016,3 days,lung,1,1.75
30,A/chicken/Hebei/M1211-20/2016,3 days,lung,2,0.75
30,A/chicken/Hebei/M1211-20/2016,3 days,lung,3,0.75
30,A/chicken/Hebei/M1211-20/2016,3 days,nasal,1,3.25
30,A/chicken/Hebei/M1211-20/2016,3 days,nasal,2,3.5
30,A/chicken/Hebei/M1211-20/2016,3 days,nasal,3,3.75
30,A/chicken/Hebei/M1211-20/2016,5 days,lung,1,0.75
30,A/chicken/Hebei/M1211-20/2016,5 days,lung,2,0.75
30,A/chicken/Hebei/M1211-20/2016,5 days,lung,3,0.75
30,A/chicken/Hebei/M1211-20/2016,5 days,nasal,1,5.25
30,A/chicken/Hebei/M1211-20/2016,5 days,nasal,2,4.75
31,A/Chicken/Guangdong/F0106/2020,3 days,lung,1,0.75
31,A/Chicken/Guangdong/F0106/2020,3 days,lung,2,0.75
31,A/Chicken/Guangdong/F0106/2020,3 days,lung,3,0.75
31,A/Chicken/Guangdong/F0106/2020,3 days,nasal,1,2.5
31,A/Chicken/Guangdong/F0106/2020,3 days,nasal,2,2.75
31,A/Chicken/Guangdong/F0106/2020,3 days,nasal,3,2.5
31,A/Chicken/Guangdong/F0106/2020,5 days,lung,1,0.75
31,A/Chicken/Guangdong/F0106/2020,5 days,lung,2,1.75
31,A/Chicken/Guangdong/F0106/2020,5 days,lung,3,0.75
31,A/Chicken/Guangdong/F0106/2020,5 days,nasal,1,3.25
31,A/Chicken/Guangdong/F0106/2020,5 days,nasal,2,3.25
31,A/Chicken/Guangdong/F0106/2020,5 days,nasal,3,3.25
32,A/chicken/Anhui/M1029TC11/2024,3 days,lung,1,4.5
32,A/chicken/Anhui/M1029TC11/2024,3 days,lung,2,4.25
32,A/chicken/Anhui/M1029TC11/2024,3 days,lung,3,4.25
32,A/chicken/Anhui/M1029TC11/2024,3 days,nasal,1,3.75
32,A/chicken/Anhui/M1029TC11/2024,3 days,nasal,2,3.75
32,A/chicken/Anhui/M1029TC11/2024,3 days,nasal,3,3.5
32,A/chicken/Anhui/M1029TC11/2024,5 days,lung,1,1.75
32,A/chicken/Anhui/M1029TC11/2024,5 days,lung,2,4.75
32,A/chicken/Anhui/M1029TC11/2024,5 days,lung,3,4.75
32,A/chicken/Anhui/M1029TC11/2024,5 days,nasal,1,5.5
32,A/chicken/Anhui/M1029TC11/2024,5 days,nasal,2,5.25
32,A/chicken/Anhui/M1029TC11/2024,5 days,nasal,3,4.5
33,A/Anhui-Lujiang/39/2018,3 days,lung,1,2.75
33,A/Anhui-Lujiang/39/2018,3 days,lung,2,3.5
33,A/Anhui-Lujiang/39/2018,3 days,lung,3,1.75
33,A/Anhui-Lujiang/39/2018,3 days,nasal,1,4.5
33,A/Anhui-Lujiang/39/2018,3 days,nasal,2,4.25
33,A/Anhui-Lujiang/39/2018,3 days,nasal,3,4.25
33,A/Anhui-Lujiang/39/2018,5 days,lung,1,2.5
33,A/Anhui-Lujiang/39/2018,5 days,lung,2,2.25
33,A/Anhui-Lujiang/39/2018,5 days,lung,3,2.5
33,A/Anhui-Lujiang/39/2018,5 days,nasal,1,3.5
33,A/Anhui-Lujiang/39/2018,5 days,nasal,2,3.25
33,A/Anhui-Lujiang/39/2018,5 days,nasal,3,3.75
